Location name,Amount spent (NZD)
Auckland Region,1773
Bay of Plenty Region,225
Canterbury,425
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,112
Manawatu-Wanganui,161
Marlborough Region,≤100
Nelson Province,≤100
Niue,≤100
Northland Region,113
Otago,145
Southland,≤100
Taranaki,≤100
Tasman District,≤100
Unknown,≤100
Waikato,311
Wellington Region,287
West Coast,≤100
