Location name,Amount spent (RON)
Alba County,690
Arad County,764
Argeș County,899
Bacău County,1144
Bihor County,1096
Bistrița-Năsăud County,455
Botoșani County,488
Brașov County,900
Brăila County,424
Bucharest,5051
Buzău County,553
Caraș-Severin County,400
Cluj County,1763
Constanța County,1334
Covasna County,469
Călărași County,387
Dolj County,1071
Dâmbovița County,889
Galați County,734
Giurgiu County,431
Gorj County,687
Harghita County,779
Hunedoara County,817
Ialomița County,267
Iași County,2558
Ilfov County,608
Maramureș County,682
Mehedinți County,433
Mureș County,1584
Neamț County,1474
Olt County,420
Prahova County,1331
Satu Mare County,673
Sibiu County,644
Suceava County,1367
Sălaj County,394
Teleorman County,402
Timiș County,1630
Tulcea County,268
Unknown,≤100
Vaslui County,476
Vrancea County,433
Vâlcea County,487
