Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,495
Bangkok,14551
Bueng Kan,≤100
Buriram,305
Chachoengsao,443
Chai Nat,≤100
Chaiyaphum,211
Chanthaburi,198
Chiang Mai,1167
Chiang Rai,324
Chon Buri,2186
Chumphon,312
Kalasin,210
Kamphaeng Phet,144
Kanchanaburi,448
Khon Kaen,565
Krabi,306
Lampang,374
Lamphun,121
Loei,181
Lop Buri,178
Mae Hong Son,224
Maha Sarakham,201
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,725
Nakhon Phanom,225
Nakhon Ratchasima,852
Nakhon Sawan,336
Nakhon Si Thammarat,1669
Nan,≤100
Narathiwat,230
Nong Bua Lam Phu,275
Nong Khai,148
Nonthaburi,914
Pathum Thani,474
Pattani,360
Phangnga,333
Phatthalung,387
Phayao,244
Phetchabun,190
Phetchaburi,344
Phichit,435
Phitsanulok,5580
Phrae,106
Phuket,3468
Prachin Buri,171
Prachuap Khiri Khan,302
Ranong,106
Ratchaburi,343
Rayong,335
Roi Et,272
Sa Kaeo,119
Sakon Nakhon,474
Samut Prakan,576
Samut Sakhon,985
Samut Songkhram,≤100
Saraburi,215
Satun,216
Sing Buri,≤100
Sisaket,273
Songkhla,2211
Sukhothai,147
Suphan Buri,434
Surat Thani,7254
Surin,273
Tak,249
Trang,257
Trat,≤100
Ubon Ratchathani,477
Udon Thani,487
Unknown,≤100
Uthai Thani,≤100
Uttaradit,116
Yala Province,246
Yasothon,560
