Location name,Amount spent (COP)
Amazonas,414
Antioquia,2937916
Arauca,58686
Atlantico,594530
Bolivar,251885
Boyaca,26379
Caldas,370107
Caqueta,30368
Casanare,39013
Cauca,242709
Cesar,68641
Choco,72631
Cordoba,83104
Cundinamarca,82575
Distrito Especial,730196
Guainia,136
Guaviare,24197
Huila,108330
La Guajira,16559
Magdalena,77547
Meta,336836
Narino,48310
Norte de Santander,415361
Putumayo,4611
Quindio,102122
Risaralda,341824
San Andres y Providencia,1936
Santander,431604
Sucre,87427
Tolima,207625
Unknown,≤100
Valle del Cauca,2410604
Vaupes,≤100
Vichada,508
