Location name,Amount spent (CZK)
Central Bohemian Region,13129
Hradec Králové Region,4959
Karlovy Vary Region,2910
Liberec Region,4259
Moravian-Silesian Region,9864
Olomouc Region,5360
Pardubice Region,4415
Plzeň Region,6475
Prague,27930
South Bohemian Region,6634
South Moravian Region,13543
Unknown,≤100
Vysočina Region,4297
Zlín Region,5878
Ústí nad Labem Region,6921
