Location name,Amount spent (EGP)
Al Sharqia Governorate,2514
Alexandria Governorate,1589
Aswan Governorate,268
Asyut Governorate,557
Beheira Governorate,869
Beni Suef Governorate,373
Cairo Governorate,3463
Dakahlia Governorate,1770
Damietta Governorate,425
Faiyum Governorate,368
Gharbia Governorate,990
Giza Governorate,1076
Ismailia Governorate,371
Kafr el-Sheikh Governorate,827
Luxor Governorate,178
Matrouh Governorate,≤100
Minya Governorate,647
Monufia Governorate,888
New Valley Governorate,≤100
North Sinai Governorate,153
Port Said Governorate,475
Qalyubia Governorate,825
Qena Governorate,422
Red Sea Governorate,160
Sohag Governorate,612
South Sinai Governorate,≤100
Suez Governorate,188
Unknown,≤100
