Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,10927,7
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,4615,4
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,531,3
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,524,1
409758545881921,Intendencia de Colonia,Intendencia de Colonia,501,1
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,437,6
339506493370193,Richard Sander,Richard Saul Sander Darín,206,2
668626516485308,Enred Frenteamplista - Enred Socialista,Partido Socialista del Uruguay,158,1
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,158,1
112242977308119,José Manuel Arenas Díaz,José Manuel Arenas Díaz,118,1
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,≤100,1
167728210320227,Marne Osorio Lima,Marne Yohn Osorio Lima,≤100,1
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100,1
107680212029365,Todos Por Río Negro,Alejandro Matias Roverano Ayala,≤100,1
27674981947,Rodrigo Blás,These ads ran without a disclaimer,≤100,1
385385178182941,SIGNUS Ecovalor,These ads ran without a disclaimer,≤100,1
203857292983532,AviationCV.com,These ads ran without a disclaimer,≤100,2
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
200345460422728,Johnny Abraham : Conquista TU mundo,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
