Location name,Amount spent (EUR)
Alsace,574
Aquitaine,836
Auvergne,256
Basse-Normandie,337
Bourgogne,349
Bretagne,824
Centre,623
Champagne-Ardenne,270
Corse,≤100
Franche-Comté,220
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,591
Languedoc-Roussillon,870
Limousin,143
Lorraine,701
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,669
New Caledonia,≤100
Nord-Pas-de-Calais,897
Pays de la Loire,963
Picardie,380
Poitou-Charentes,414
Provence-Alpes-Côte d'Azur,1508
Reunion Island,≤100
Rhône-Alpes,1467
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2754
