Location name,Amount spent (ARS)
Buenos Aires,1308376
Catamarca,42332
Chaco,58433
Chubut,95281
Ciudad Autónoma de Buenos Aires,387680
Corrientes,46241
Córdoba,2221465
Entre Rios,53942
Formosa,18355
Jujuy,32692
La Pampa,47556
La Rioja,17842
Mendoza,36882
Misiones,39907
Neuquén,303522
Río Negro,51574
Salta,75938
San Juan,102229
San Luis,61834
Santa Cruz,4224
Santa Fe,387345
Santiago del Estero,19201
Tierra del Fuego,45587
Tucuman,63529
Unknown,≤100
