Location name,Amount spent (CLP)
Antofagasta Region,119016
Araucanía Region,124108
Arica y Parinacota Region,35561
Atacama Region,44221
Aysén Region,50103
Bío Bío Region,250096
Coquimbo Region,135691
Los Lagos Region,169316
Los Ríos Region,43592
Magallanes y la Antártica Chilena Region,35384
Maule Region,108615
O'Higgins Region,83378
Santiago Metropolitan Region,1323176
Tarapacá Region,62160
Unknown,243
Valparaíso Region,290441
