Location name,Amount spent (PYG)
Alto Paraguay Department,72603
Alto Paraná Department,6268112
Amambay Department,624819
Asunción,6043457
Boquerón department,262951
Caaguazú Department,2209250
Caazapá Department,454773
Canindeyú Department,609292
Central Department,13114522
Concepción Department (Paraguay),674971
Cordillera Department,1450408
Guairá Department,845048
Itapúa Department,2333406
Misiones Department,758009
Paraguarí Department,642124
Presidente Hayes Department,549464
San Pedro Department,1281666
Unknown,753
Ñeembucú Department,413005
