Location name,Amount spent (GTQ)
Alta Verapaz Department,246
Baja Verapaz Department,≤100
Chimaltenango Department,128
Chiquimula Department,123
El Progreso Department,≤100
Escuintla Department,229
Guatemala Department,5634
Huehuetenango Department,272
Izabal Department,209
Jalapa Department,≤100
Jutiapa Department,159
Petén Department,115
Quetzaltenango Department,316
Quiché Department,171
Retalhuleu Department,≤100
Sacatepéquez Department,112
San Marcos Department,616
Santa Rosa Department,≤100
Sololá Department,111
Suchitepéquez Department,128
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
