Location name,Amount spent (USD)
Alabama,11447
Alaska,3093
American Samoa,≤100
Arizona,28666
Arkansas,7285
California,119235
Colorado,19319
Connecticut,9827
Delaware,3075
Florida,61846
Georgia,290439
Guam,118
Hawaii,3544
Idaho,6466
Illinois,33380
Indiana,22839
Iowa,12895
Kansas,8658
Kentucky,10701
Louisiana,18556
Maine,6509
Maryland,23816
Massachusetts,20620
Michigan,37928
Minnesota,16641
Mississippi,9890
Missouri,18640
Montana,4620
Nebraska,5353
Nevada,9831
New Hampshire,4470
New Jersey,30182
New Mexico,7612
New York,62758
North Carolina,31113
North Dakota,2105
Northern Mariana Islands,≤100
Ohio,35955
Oklahoma,12028
Oregon,17033
Pennsylvania,47008
Puerto Rico,≤100
Rhode Island,3553
South Carolina,12558
South Dakota,2069
Tennessee,18376
Texas,83059
Unknown,≤100
Utah,11483
Vermont,2329
Virgin Islands (U.S.),≤100
Virginia,31357
Washington,30899
"Washington, District of Columbia",14725
West Virginia,6021
Wisconsin,20382
Wyoming,1752
