Location name,Amount spent (HUF)
Baranya County,79577
Borsod-Abaúj-Zemplén County,109689
Budapest,520307
Bács-Kiskun County,82250
Békés County,58660
Csongrád County,95467
Fejér County,80722
Győr-Moson-Sopron County,84317
Hajdú-Bihar County,93383
Heves County,51543
Jász-Nagykun-Szolnok County,58328
Komárom-Esztergom County,64474
Nógrád County,30191
Pest County,207906
Somogy County,54560
Szabolcs-Szatmár-Bereg County,89548
Tolna County,41056
Unknown,≤100
Vas County,56859
Veszprém County,62453
Zala County,51910
