Location name,Amount spent (COP)
Amazonas,1716
Antioquia,11383967
Arauca,21250
Atlantico,852389
Bolivar,521053
Boyaca,95443
Caldas,203528
Caqueta,84633
Casanare,43290
Cauca,373502
Cesar,97849
Choco,27055
Cordoba,102413
Cundinamarca,792890
Distrito Especial,4877143
Guainia,1212
Guaviare,10719
Huila,403541
La Guajira,37639
Magdalena,465427
Meta,325567
Narino,122897
Norte de Santander,318472
Putumayo,56557
Quindio,90173
Risaralda,303260
San Andres y Providencia,6337
Santander,361898
Sucre,62373
Tolima,225979
Unknown,259
Valle del Cauca,3496799
Vaupes,333
Vichada,1275
