Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,750000
Apure,250000
Aragua,18000000
Barinas,796473
Bolívar (state),1079221
Capital District,4522150
Carabobo,54500043
Cojedes,250000
Delta Amacuro,≤100
Falcón,500000
Guárico,291006
Lara,1000000
Miranda (state),807408
Monagas,448508
Mérida,562876
Nueva Esparta,250000
Portuguesa,432877
Sucre,210001
Trujillo,250000
Táchira,1250000
Unknown,≤100
Vargas,250000
Yaracuy,437502
Zulia,67682448
