Location name,Amount spent (EUR)
Attica (region),10064
Central Greece (region),690
Central Macedonia,3114
Crete,1465
Eastern Macedonia and Thrace,932
Epirus (region),368
Ionian Islands (region),359
Northern Aegean,226
Peloponnese (region),842
Southern Aegean,617
Thessaly,1019
Unknown,≤100
Western Greece,1082
Western Macedonia,298
