Location name,Amount spent (MYR)
Johor,592
Kedah,250
Kelantan,121
Kuala Lumpur,433
Labuan,≤100
Malacca,≤100
Negeri Sembilan,118
Pahang,130
Penang,220
Perak,237
Perlis,≤100
Putrajaya,≤100
Sabah,238
Sarawak,202
Selangor,784
Terengganu,111
Unknown,≤100
