Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,27639403,10
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,15378024,20
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,10162703,18
54779960819,United Nations,United Nations with Facebook Ad Credits,8480467,3
197545083607941,Harian Kompas,Harian Kompas,2391241,49
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,1777967,3
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,1730489,30
103459502642464,Dulure Mbak Puan,Pendukung Puan 'Agus Sugianto',1574471,10
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,1533332,22
116802887958054,Sahabat Mbak Puan,Pendukung Puan,1526457,10
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,1220912,24
104649245492872,Modoc ID,These ads ran without a disclaimer,867217,1
103905329262702,Pendukung Puan 2024,Pendukung Puan 'Agus Sugianto',751156,11
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,602963,18
106883058905796,Tanda Seru,Aditia Ramdani,502811,18
104622532469179,Populis,Aditia Ramdani,451557,18
101428652793656,Readktif,Aditia Ramdani,422736,18
105162375779431,Bambang Dwijatmiko - BD For Senayan 2024,These ads ran without a disclaimer,392526,4
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,386844,2
101369132852155,Sumenep Jawara,Sumenep JAWARA,383333,4
614375262100876,Partai Nasdem,Naila Saadah,371251,1
173776079818775,Saiful Mujani,Saidiman,263730,1
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,242395,22
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,236944,14
111967013731903,Goldwind,These ads ran without a disclaimer,215387,1
173996829810061,Ryan F Kono,"Ryan Fahrichsan Kono, B.Com",158150,2
111805655036485,Humas DPRD Pati,Aditya Rachmat Pamungkas,148981,2
104217932476562,Ali Badrudin,Aditya Rachmat Pamungkas,148918,2
102672669369785,Suara Akar Bawah,Aditia Ramdani,148527,6
101601538648991,Gerindra Lampung Official,"Asroni Paslah, S.Pd",138902,1
127232094369851,Sayed Abubakar A. Assegaf - Fanspage,Sayed Abu Bakar Abdullah,129122,5
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,114656,4
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,110925,11
342449962923657,Berita Ganjar Pranowo,Septian Raharjo,105621,2
116705041036588,Francine Widjojo,Francine Widjojo,101486,1
101101492306034,Mega News,Siti Sarah Iskandar,100000,1
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,94672,11
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,87647,2
526765274016858,DPD Gerindra Gorontalo,Elnino Mohamad Husein Mohi,84690,2
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,74887,12
160973174506360,Baharuddin Demmu,Baharuddin Demmu,73155,1
108021237423372,Riza Zuhelmy,Riza Zuhelmy,69114,1
101759701622022,PSI Merauke,Jeremias Michael Omona,63768,1
147555216186069,Christina Aryani,Christina Aryani Foundation,63624,1
102176125918052,Sahabat Jane,Christian Widodo,58834,2
397612604060624,ilham mendrofa,ilham mendrofa,57264,3
102273039070802,Info Terkini,Muhammad Miftakhunnaim,53486,5
753113741702235,Tomy Andri Zulpa,Tomy Andri Zulpa,51322,4
735179230603344,Rahmat Dermawan,Rahmat Dermawan,46854,3
108156498584853,Tetap Puan,Marabunta Family Cyber,45351,2
544107539358354,"Dr. H. Rusman Ya'qub, SPd, MSi",Rusman Yaqub,43228,7
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,39013,4
104101959243787,Mbak Puan for President 2024,Pendukung Puan 'Agus Sugianto',37471,4
1566811330067048,Gesuri,Gesuri,36306,3
372634879599800,Olymp Trade,These ads ran without a disclaimer,35153,1
111519674977954,Lampung Utara Media,Ganjar Nusantara Indonesia,28155,2
101491652672085,Gagasan Banyuasin,Ganjar Nusantara Indonesia,28079,2
109506435180993,Gowa terbuka,Ganjar Nusantara Indonesia,27916,2
103154962503579,Penggemar Pontianak,Ganjar Nusantara Indonesia,27773,2
108629635281587,Meditasi Banjar,Ganjar Nusantara Indonesia,27585,2
101221822692653,Filosofi Serang,Ganjar Nusantara Indonesia,27434,2
101157472699039,Lensa Lebak,Ganjar Nusantara Indonesia,27353,2
110440058420230,Discussion Cilegon,Ganjar Nusantara Indonesia,27226,2
2222018624739038,Jakarta Dukung Ganjar,Ganjar Nusantara Indonesia,27188,2
110101038466059,Tanah Terbit,Ganjar Nusantara Indonesia,27036,2
106767125434048,Rumah GP Sumatra Barat,Ganjar Nusantara Indonesia,27012,2
110454451763465,Sambas Bersinar,Ganjar Nusantara Indonesia,26963,2
101851468280755,RUMAH KITA Lamongan,Ganjar Nusantara Indonesia,26917,2
107690102033332,Diskusi Tanggamus,Ganjar Nusantara Indonesia,26773,2
112465261559898,Lensa Kutai Kartanegara,Ganjar Nusantara Indonesia,26588,2
106304798840888,Potret Pandeglang,Ganjar Nusantara Indonesia,26339,2
106681168697547,Rumah kita sulsel,Ganjar Nusantara Indonesia,26191,2
101872465967714,Samarinda Bahagia,Ganjar Nusantara Indonesia,26178,2
108526685278844,Warna warni blitar,Ganjar Nusantara Indonesia,25978,2
111613951635299,Lampung Timur Pedia,Ganjar Nusantara Indonesia,25734,2
104732402342782,Filosofi tangerang selatan,Ganjar Nusantara Indonesia,25691,2
111241268349257,Ogan Komering ilir Cerita,Ganjar Nusantara Indonesia,25570,2
101367882644316,GP Gorontalo,Ganjar Nusantara Indonesia,25338,2
100357306113912,Bone tersenyum,Ganjar Nusantara Indonesia,25317,2
108705558596782,Makassar berteman,Ganjar Nusantara Indonesia,25200,2
101220845990276,GP Bengkulu,Ganjar Nusantara Indonesia,25116,2
105984728799517,Sulsel Dukung Ganjar,Ganjar Nusantara Indonesia,25088,2
107611851968705,Sumsel Dukung Ganjar,Ganjar Nusantara Indonesia,25037,2
102292785914950,Idola pacitan,Ganjar Nusantara Indonesia,25006,2
108358428631534,Lampung Selatan Bersuara,Ganjar Nusantara Indonesia,24992,2
100382756075812,GP Kalimantan Timur,Ganjar Nusantara Indonesia,24851,2
113037281623772,Tangerang Kota Bercerita,Ganjar Nusantara Indonesia,24722,2
101897212629526,Suasana jogjakarta,Ganjar Nusantara Indonesia,24707,2
102342702575723,Lentera bangkalan,Ganjar Nusantara Indonesia,24617,2
109916735140811,Lampung Tengah Berfikir,Ganjar Nusantara Indonesia,24583,2
108033718631640,GP Kalimantan Barat,Ganjar Nusantara Indonesia,24531,2
107713638697378,Filosofi jakarta timur,Ganjar Nusantara Indonesia,24521,2
103020259173359,Info Ciamis Terdepan,Ganjar Nusantara Indonesia,24512,2
105425845606525,Balikpapan terdepan,Ganjar Nusantara Indonesia,24510,2
106674122146910,Warta Banjarmasin,Ganjar Nusantara Indonesia,24488,2
111272021680009,Cendekiawan Palembang,Ganjar Nusantara Indonesia,24481,2
100452782779664,Kubu Raya Terpancar,Ganjar Nusantara Indonesia,24375,2
104297619044779,Halo Depok,Ganjar Nusantara Indonesia,24315,2
100712919410182,Sidoarjo tersenyum,Ganjar Nusantara Indonesia,24257,2
104108629063055,Kediri bermakna,Ganjar Nusantara Indonesia,24217,2
101372009341896,Kata cirebon,Ganjar Nusantara Indonesia,24179,2
106151352188226,Pamekasan cerah,Ganjar Nusantara Indonesia,24175,2
106499898747570,Lampung Dukung Ganjar,Ganjar Nusantara Indonesia,24077,2
116357131050852,Rumah Kita jambi,Ganjar Nusantara Indonesia,24044,2
109984318465038,Ngawi keren,Ganjar Nusantara Indonesia,23971,2
103459482464091,Membawa langkat,Ganjar Nusantara Indonesia,23931,2
102185832591509,Bandung Raya Update,Ganjar Nusantara Indonesia,23931,2
100754459407291,Inspirasi Bandar Lampung,Ganjar Nusantara Indonesia,23930,2
105831108888060,Pasuruan bersama,Ganjar Nusantara Indonesia,23899,2
1716437738583378,Banten Dukung Ganjar,Ganjar Nusantara Indonesia,23897,2
108268591971532,Banyuwangi pedia,Ganjar Nusantara Indonesia,23851,2
104262792380394,Update jombang,Ganjar Nusantara Indonesia,23844,2
103778105764269,Rangkuman madiun raya,Ganjar Nusantara Indonesia,23831,2
100580589422621,Cahaya bojonegoro,Ganjar Nusantara Indonesia,23831,2
107712755364133,Melihat Tangerang,Ganjar Nusantara Indonesia,23809,2
107019302070970,GP Kepulauan Riau,Ganjar Nusantara Indonesia,23795,2
112570091503539,GP Papua,Ganjar Nusantara Indonesia,23787,2
