Location name,Amount spent (MXN)
Aguascalientes,9960
Baja California,66639
Baja California Sur,7455
Campeche,25878
Chiapas,29628
Chihuahua,46988
Coahuila de Zaragoza,659793
Colima,10687
Distrito Federal,159139
Durango,18547
Guanajuato,48452
Guerrero,16553
Hidalgo,15584
Jalisco,127875
Michoacán de Ocampo,42711
Morelos,22718
Nayarit,8683
Nuevo León,107594
Oaxaca,32257
Puebla,47981
Querétaro Arteaga,22028
Quintana Roo,38919
San Luis Potosi,29259
Sinaloa,18809
Sonora,36754
State of Mexico,562247
Tabasco,25592
Tamaulipas,47695
Tlaxcala,8192
Unknown,≤100
Veracruz,50798
Yucatán,29129
Zacatecas,8356
