Location name,Amount spent (USD)
Azuay Province,2002
Bolívar Province,228
Carchi Province,165
Cañar Province,394
Chimborazo Province,648
Cotopaxi Province,485
El Oro Province,1460
Esmeraldas Province,700
Galápagos Province,≤100
Guayas Province,7583
Imbabura Province,688
Loja Province,830
Los Ríos Province,1435
Manabí Province,2971
Morona-Santiago Province,271
Napo Province,186
Orellana Province,212
Pastaza Province,208
Pichincha Province,6696
Santa Elena Province,513
Santo Domingo de los Tsáchilas Province,1481
Sucumbíos Province,298
Tungurahua Province,896
Unknown,≤100
Zamora-Chinchipe Province,232
