Location name,Amount spent (EGP)
Al Sharqia Governorate,2031
Alexandria Governorate,2263
Aswan Governorate,357
Asyut Governorate,754
Beheira Governorate,1204
Beni Suef Governorate,474
Cairo Governorate,5385
Dakahlia Governorate,2377
Damietta Governorate,543
Faiyum Governorate,501
Gharbia Governorate,1670
Giza Governorate,1522
Ismailia Governorate,532
Kafr el-Sheikh Governorate,1045
Luxor Governorate,238
Matrouh Governorate,≤100
Minya Governorate,819
Monufia Governorate,1173
New Valley Governorate,≤100
North Sinai Governorate,166
Port Said Governorate,444
Qalyubia Governorate,1256
Qena Governorate,554
Red Sea Governorate,183
Sohag Governorate,974
South Sinai Governorate,≤100
Suez Governorate,244
Unknown,≤100
