Location name,Amount spent (VND)
An Giang Province,58488
Bà Rịa–Vũng Tàu Province,97877
Bình Dương Province,734899
Bình Phước Province,58387
Bình Thuận Province,69930
Bình Định Province,85994
Bạc Liêu Province,24593
Bắc Giang Province,494572
Bắc Kạn Province,21257
Bắc Ninh Province,135014
Bến Tre Province,35447
Cao Bằng Province,19929
Cà Mau Province,34534
Cần Thơ,49261
Da Nang,542210
Gia Lai Province,78826
Haiphong,149842
Ho Chi Minh City,3669223
Hà Giang Province,32934
Hà Nam Province,61859
Hà Tĩnh Province,133427
Hòa Bình Province,47256
Hưng Yên Province,95782
Hải Dương Province,147395
Hậu Giang Province,20039
Khánh Hòa Province,142184
Kiên Giang Province,57819
Kon Tum Province,30351
Lai Châu Province,8519
Long An Province,284991
Lào Cai Province,39835
Lâm Đồng Province,138850
Lạng Sơn Province,51222
Nam Định Province,134307
Nghệ An Province,271626
Ninh Bình Province,79332
Ninh Thuận Province,24424
Phú Thọ Province,175481
Phú Yên Province,41166
Quảng Bình Province,50112
Quảng Nam Province,81959
Quảng Ngãi Province,150754
Quảng Ninh Province,122921
Quảng Trị Province,59150
Sóc Trăng Province,30600
Sơn La Province,48323
Thanh Hóa Province,274997
Thái Bình Province,120084
Thái Nguyên Province,122090
Thừa Thiên–Huế Province,104064
Tiền Giang Province,83445
Trà Vinh Province,27718
Tuyên Quang Province,114151
Tây Ninh Province,312243
Unknown,≤100
Vĩnh Long Province,25051
Vĩnh Phúc Province,84538
Yên Bái Province,59911
Điện Biên Province,22567
Đắk Lắk Province,135958
Đắk Nông Province,37041
Đồng Nai Province,675528
Đồng Tháp Province,49226
