Location name,Amount spent (SEK)
Blekinge County,4420
Dalarna County,9261
Gotland County,2409
Gävleborg County,8770
Halland County,9752
Jämtland County,4406
Jönköping County,11135
Kalmar County,7077
Kronoberg County,6635
Norrbotten County,8127
Skåne County,41349
Stockholm County,79691
Södermanland County,9362
Unknown,≤100
Uppsala County,14933
Värmland County,8540
Västerbotten County,8377
Västernorrland County,6906
Västmanland County,8498
Västra Götaland County,57906
Örebro County,9942
Östergötland County,14505
