Location name,Amount spent (ZAR)
Eastern Cape,1025
Free State,511
Gauteng,3217
KwaZulu-Natal,1032
Limpopo,728
Mpumalanga,456
North West,298
Northern Cape,118
Unknown,≤100
Western Cape,3013
