Location name,Amount spent (MXN)
Aguascalientes,6991
Baja California,28165
Baja California Sur,3211
Campeche,15990
Chiapas,16261
Chihuahua,15973
Coahuila de Zaragoza,84235
Colima,5906
Distrito Federal,118801
Durango,7050
Guanajuato,38099
Guerrero,10998
Hidalgo,15749
Jalisco,44345
Michoacán de Ocampo,21105
Morelos,28743
Nayarit,4388
Nuevo León,101793
Oaxaca,12579
Puebla,38275
Querétaro Arteaga,13945
Quintana Roo,13867
San Luis Potosi,20237
Sinaloa,9015
Sonora,14880
State of Mexico,153028
Tabasco,9548
Tamaulipas,16141
Tlaxcala,6716
Unknown,≤100
Veracruz,24563
Yucatán,19541
Zacatecas,4743
