Location name,Amount spent (IDR)
Aceh,1345533
Bali,2485695
Bangka–Belitung Islands,374804
Banten,2669811
Bengkulu,580337
Central Java,9899808
Central Kalimantan,698830
Central Sulawesi,1468708
East Java,11699130
East Kalimantan,1437823
East Nusa Tenggara,1215489
Gorontalo,1096255
Jakarta,6875538
Jambi,670972
Lampung,2290080
Maluku,345313
North Kalimantan,215382
North Maluku,285162
North Sulawesi,1586863
North Sumatra,4570688
Papua (province),583867
Riau,2163709
Riau Islands Province,969936
South Kalimantan,1547822
South Sulawesi,2228245
South Sumatra,2386110
Southeast Sulawesi,598831
Special Region of Yogyakarta,1207639
Unknown,3457
West Java,9992521
West Kalimantan,1841760
West Nusa Tenggara,1289566
West Papua,318912
West Sulawesi,313483
West Sumatra,1897794
