Location name,Amount spent (TWD)
Changhua,3894
Chiayi,812
Hsinchu,2277
Hsinchu City,4884
Hualien,1700
Kaohsiung,14072
Keelung City,1798
Kinmen,231
Lienchiang,≤100
Miaoli,2066
Nantou,1902
New Taipei City,24347
Penghu,358
Pingtung,3249
Taichung,17265
Tainan,9214
Taipei,20367
Taitung,956
Taoyuan City,14370
Unknown,1709
Yilan,1466
Yunlin,2732
