Location name,Amount spent (EGP)
Al Sharqia Governorate,1170
Alexandria Governorate,1265
Aswan Governorate,175
Asyut Governorate,501
Beheira Governorate,674
Beni Suef Governorate,260
Cairo Governorate,2744
Dakahlia Governorate,1248
Damietta Governorate,389
Faiyum Governorate,266
Gharbia Governorate,1127
Giza Governorate,7239
Ismailia Governorate,479
Kafr el-Sheikh Governorate,482
Luxor Governorate,120
Matrouh Governorate,≤100
Minya Governorate,499
Monufia Governorate,632
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,237
Qalyubia Governorate,801
Qena Governorate,367
Red Sea Governorate,143
Sohag Governorate,500
South Sinai Governorate,≤100
Suez Governorate,153
Unknown,≤100
