Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,118
Apurímac Region,≤100
Arequipa Region,168
Ayacucho Region,≤100
Cajamarca Region,164
Callao,≤100
Cusco Region,191
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,133
Junín Region,130
La Libertad Region,185
Lambayeque Region,135
Lima Region,2373
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,152
Puno Region,158
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
