Location name,Amount spent (NZD)
Auckland Region,2682
Bay of Plenty Region,435
Canterbury,946
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,333
Manawatu-Wanganui,415
Marlborough Region,≤100
Nelson Province,121
Niue,≤100
Northland Region,197
Otago,382
Southland,131
Taranaki,161
Tasman District,≤100
Unknown,≤100
Waikato,718
Wellington Region,729
West Coast,≤100
