Location name,Amount spent (AUD)
Australian Capital Territory,545
Jervis Bay Territory,≤100
New South Wales,16848
Northern Territory,187
Queensland,6818
South Australia,2043
Tasmania,1091
Unknown,≤100
Victoria,7664
Western Australia,2527
