Location name,Amount spent (HUF)
Baranya County,553393
Borsod-Abaúj-Zemplén County,908791
Budapest,3291484
Bács-Kiskun County,772978
Békés County,481794
Csongrád County,658992
Fejér County,633617
Győr-Moson-Sopron County,766386
Hajdú-Bihar County,812794
Heves County,412219
Jász-Nagykun-Szolnok County,550943
Komárom-Esztergom County,458806
Nógrád County,241179
Pest County,1813790
Somogy County,416805
Szabolcs-Szatmár-Bereg County,770535
Tolna County,330275
Unknown,270
Vas County,391389
Veszprém County,499992
Zala County,379891
