Location name,Amount spent (PLN)
Greater Poland Voivodeship,3660
Kuyavian-Pomeranian Voivodeship,2135
Lesser Poland Voivodeship,4749
Lower Silesian Voivodeship,3492
Lublin Voivodeship,3584
Lubusz Voivodeship,790
Masovian Voivodeship,8355
Opole Voivodeship,776
Podkarpackie Voivodeship,1536
Podlaskie Voivodeship,1444
Pomeranian Voivodeship,2570
Silesian Voivodeship,3704
Unknown,≤100
Warmian-Masurian Voivodeship,1188
West Pomeranian Voivodeship,1686
Łódź Voivodeship,2637
Świętokrzyskie Voivodeship,899
