Location name,Amount spent (HTG)
Artibonite Department,375
Centre Department,147
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,184
Nord-Est Department,147
Nord-Ouest Department,147
Ouest Department,1554
Sud Department,147
Sud-Est Department,147
