Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,658
Cerro Largo Department,≤100
Colonia Department,742
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,11014
Paysandú Department,4614
Rivera Department,271
Rocha Department,≤100
Río Negro Department,140
Salto Department,189
San José Department,≤100
Soriano Department,115
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
