Location name,Amount spent (AUD)
Australian Capital Territory,776
Jervis Bay Territory,≤100
New South Wales,17904
Norfolk Island,≤100
Northern Territory,439
Queensland,12600
South Australia,3778
Tasmania,1577
Unknown,≤100
Victoria,29464
Western Australia,6089
