Location name,Amount spent (PYG)
Alto Paraguay Department,225858
Alto Paraná Department,19106107
Amambay Department,3173448
Asunción,26535795
Boquerón department,565102
Caaguazú Department,6044272
Caazapá Department,1309720
Canindeyú Department,1318805
Central Department,42777084
Concepción Department (Paraguay),1558840
Cordillera Department,2797454
Guairá Department,1743399
Itapúa Department,8728735
Misiones Department,2153960
Paraguarí Department,1598175
Presidente Hayes Department,1139534
San Pedro Department,2386701
Unknown,13000
Ñeembucú Department,1044922
