Location name,Amount spent (LBP)
Beirut Governorate,2885752
Beqaa Governorate,727331
Mount Lebanon Governorate,1577524
Nabatieh Governorate,363140
North Governorate,1169127
South Governorate,518785
Unknown,≤100
