Location name,Amount spent (THB)
Amnat Charoen,108
Ang Thong,≤100
Ayutthaya,302
Bangkok,9817
Bueng Kan,≤100
Buriram,290
Chachoengsao,159
Chai Nat,≤100
Chaiyaphum,171
Chanthaburi,129
Chiang Mai,460
Chiang Rai,209
Chon Buri,468
Chumphon,263
Kalasin,175
Kamphaeng Phet,120
Kanchanaburi,197
Khon Kaen,418
Krabi,304
Lampang,153
Lamphun,≤100
Loei,117
Lop Buri,161
Mae Hong Son,≤100
Maha Sarakham,198
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,220
Nakhon Phanom,115
Nakhon Ratchasima,565
Nakhon Sawan,542
Nakhon Si Thammarat,2048
Nan,≤100
Narathiwat,147
Nong Bua Lam Phu,≤100
Nong Khai,128
Nonthaburi,426
Pathum Thani,436
Pattani,402
Phangnga,153
Phatthalung,559
Phayao,≤100
Phetchabun,154
Phetchaburi,916
Phichit,360
Phitsanulok,3288
Phrae,≤100
Phuket,1135
Prachin Buri,131
Prachuap Khiri Khan,507
Ranong,≤100
Ratchaburi,265
Rayong,233
Roi Et,272
Sa Kaeo,109
Sakon Nakhon,192
Samut Prakan,359
Samut Sakhon,212
Samut Songkhram,≤100
Saraburi,166
Satun,317
Sing Buri,≤100
Sisaket,276
Songkhla,3342
Sukhothai,131
Suphan Buri,267
Surat Thani,3485
Surin,279
Tak,101
Trang,313
Trat,≤100
Ubon Ratchathani,536
Udon Thani,291
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,168
Yasothon,176
