Location name,Amount spent (INR)
Andaman and Nicobar Islands,501
Andhra Pradesh,28881
Arunachal Pradesh,2542
Assam,17268
Bihar,47131
Chandigarh,3173
Chhattisgarh,47212
Dadra and Nagar Haveli,1437
Delhi,61728
Goa,3578
Gujarat,47674
Haryana,43222
Himachal Pradesh,14247
Jammu and Kashmir,9409
Jharkhand,14974
Karnataka,46038
Kerala,14428
Lakshadweep,≤100
Madhya Pradesh,62950
Maharashtra,155093
Manipur,333
Meghalaya,4029
Mizoram,704
Nagaland,931
Odisha,13220
Puducherry,3630
Punjab region,35186
Rajasthan,157642
Sikkim,1388
Tamil Nadu,107300
Telangana,74386
Tripura,1994
Unknown,123
Uttar Pradesh,101949
Uttarakhand,11429
West Bengal,79366
