Location name,Amount spent (ZAR)
Eastern Cape,1098
Free State,817
Gauteng,5437
KwaZulu-Natal,1966
Limpopo,589
Mpumalanga,686
North West,555
Northern Cape,375
Unknown,≤100
Western Cape,7031
