Location name,Amount spent (IDR)
Aceh,788456
Bali,1910344
Bangka–Belitung Islands,372418
Banten,2620468
Bengkulu,777959
Central Java,8699057
Central Kalimantan,842564
Central Sulawesi,1002184
East Java,8322416
East Kalimantan,1626418
East Nusa Tenggara,1627911
Gorontalo,682734
Jakarta,5711058
Jambi,1104763
Lampung,1856045
Maluku,585327
North Kalimantan,224615
North Maluku,469083
North Sulawesi,3462669
North Sumatra,3702383
Papua (province),826742
Riau,2032980
Riau Islands Province,820414
South Kalimantan,919249
South Sulawesi,2536464
South Sumatra,2285693
Southeast Sulawesi,724500
Special Region of Yogyakarta,1571980
Unknown,618
West Java,10967477
West Kalimantan,1600250
West Nusa Tenggara,1601386
West Papua,441909
West Sulawesi,440586
West Sumatra,1128700
