Location name,Amount spent (COP)
Amazonas,1569
Antioquia,2688190
Arauca,18823
Atlantico,304517
Bolivar,1329355
Boyaca,31275
Caldas,158855
Caqueta,19782
Casanare,15935
Cauca,143370
Cesar,52542
Choco,21969
Cordoba,82356
Cundinamarca,213253
Distrito Especial,2973021
Guainia,1498
Guaviare,2351
Huila,95107
La Guajira,38638
Magdalena,150476
Meta,93299
Narino,132521
Norte de Santander,64902
Putumayo,87509
Quindio,69461
Risaralda,303850
San Andres y Providencia,3676
Santander,224373
Sucre,41927
Tolima,88177
Unknown,≤100
Valle del Cauca,1245194
Vaupes,606
Vichada,1097
