Location name,Amount spent (TRY)
Adana Province,1512
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,117
Amasya Province,≤100
Ankara Province,1252
Antalya Province,1613
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,236
Ağrı Province,≤100
Balıkesir Province,326
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,604
Denizli Province,323
Diyarbakır Province,108
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,219
Gaziantep Province,294
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,329
Isparta Province,≤100
Istanbul Province,7541
Iğdır Province,≤100
Kahramanmaraş Province,134
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,198
Kilis Province,≤100
Kocaeli Province,261
Konya Province,315
Kütahya Province,118
Kırklareli Province,≤100
Kırıkkale Province,212
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,248
Mardin Province,≤100
Mersin Province,1595
Muğla Province,264
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,116
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,278
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,632
Tokat Province,116
Trabzon Province,≤100
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,1197
Çankırı Province,305
Çorum Province,≤100
İzmir Province,3867
Şanlıurfa Province,138
Şırnak Province,≤100
