Location name,Amount spent (MXN)
Aguascalientes,11730
Baja California,34796
Baja California Sur,4837
Campeche,21016
Chiapas,21001
Chihuahua,32060
Coahuila de Zaragoza,329384
Colima,10399
Distrito Federal,193528
Durango,13666
Guanajuato,43244
Guerrero,13270
Hidalgo,12196
Jalisco,137846
Michoacán de Ocampo,47042
Morelos,14608
Nayarit,9321
Nuevo León,107523
Oaxaca,25686
Puebla,78620
Querétaro Arteaga,23865
Quintana Roo,73754
San Luis Potosi,15844
Sinaloa,13408
Sonora,33877
State of Mexico,543192
Tabasco,10511
Tamaulipas,41486
Tlaxcala,7579
Unknown,≤100
Veracruz,38537
Yucatán,37394
Zacatecas,9394
