Location name,Amount spent (CZK)
Central Bohemian Region,50017
Hradec Králové Region,17272
Karlovy Vary Region,8628
Liberec Region,14244
Moravian-Silesian Region,41201
Olomouc Region,20920
Pardubice Region,16620
Plzeň Region,18393
Prague,81645
South Bohemian Region,19567
South Moravian Region,50257
Unknown,≤100
Vysočina Region,16040
Zlín Region,19545
Ústí nad Labem Region,26673
