Location name,Amount spent (GTQ)
Alta Verapaz Department,563
Baja Verapaz Department,109
Chimaltenango Department,353
Chiquimula Department,258
El Progreso Department,≤100
Escuintla Department,586
Guatemala Department,9900
Huehuetenango Department,513
Izabal Department,350
Jalapa Department,181
Jutiapa Department,222
Petén Department,245
Quetzaltenango Department,1155
Quiché Department,370
Retalhuleu Department,212
Sacatepéquez Department,416
San Marcos Department,1067
Santa Rosa Department,161
Sololá Department,198
Suchitepéquez Department,344
Totonicapán Department,254
Unknown,≤100
Zacapa Department,185
