Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
856012741442139,Ipas LAC,Neuma,105749,5
643513979193133,Unidos por Beatriz,Neuma,15801,8
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,10192,4
265843867173714,La Revista,La Revista,6769,3
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,5995,1
117476041631671,AmCham Costa Rica,AmCham Costa Rica,5995,1
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,5396,1
102643532445938,Ada Acuña - Diputada,Jacqui Solano,2453,1
161538647202796,David Segura - Diputado,David Lorenzo Segura Gamboa,2368,1
299756937371188,Cristian Valverde,Cristian Val,1761,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1238,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1199,1
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,876,1
110229697990927,Pablo Sibaja - Diputado,Pablo Sibaja Jiménez,403,1
102084562479533,Digital506,Digital506,402,1
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,279,3
110919974897108,SH,These ads ran without a disclaimer,≤100,1
104763178714577,Gels MDPI,These ads ran without a disclaimer,≤100,1
292129440851133,CropLife Latin America,These ads ran without a disclaimer,≤100,1
111935394678144,laura.andrade.zacarias,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
