Location name,Amount spent (PLN)
Greater Poland Voivodeship,3061
Kuyavian-Pomeranian Voivodeship,1461
Lesser Poland Voivodeship,3072
Lower Silesian Voivodeship,2362
Lublin Voivodeship,1262
Lubusz Voivodeship,844
Masovian Voivodeship,6363
Opole Voivodeship,605
Podkarpackie Voivodeship,1348
Podlaskie Voivodeship,803
Pomeranian Voivodeship,2313
Silesian Voivodeship,3612
Unknown,≤100
Warmian-Masurian Voivodeship,1049
West Pomeranian Voivodeship,1688
Łódź Voivodeship,2036
Świętokrzyskie Voivodeship,746
