Location name,Amount spent (AUD)
Australian Capital Territory,1323
Jervis Bay Territory,≤100
New South Wales,18204
Northern Territory,567
Queensland,14193
South Australia,5377
Tasmania,2035
Unknown,≤100
Victoria,15058
Western Australia,9703
