Location name,Amount spent (IDR)
Aceh,3020759
Bali,2277534
Bangka–Belitung Islands,615817
Banten,4312793
Bengkulu,1143616
Central Java,12366372
Central Kalimantan,1048583
Central Sulawesi,1290601
East Java,10339181
East Kalimantan,3126102
East Nusa Tenggara,2404537
Gorontalo,810513
Jakarta,18121301
Jambi,1201327
Lampung,5881055
Maluku,1902261
North Kalimantan,550357
North Maluku,627223
North Sulawesi,3389435
North Sumatra,5377548
Papua (province),943525
Riau,2676062
Riau Islands Province,1250664
South Kalimantan,1759831
South Sulawesi,6880322
South Sumatra,5765222
Southeast Sulawesi,1053332
Special Region of Yogyakarta,1435673
Unknown,14062
West Java,15708722
West Kalimantan,2221179
West Nusa Tenggara,1758795
West Papua,534977
West Sulawesi,638666
West Sumatra,3097605
