Location name,Amount spent (AUD)
Australian Capital Territory,492
Jervis Bay Territory,≤100
New South Wales,9882
Northern Territory,270
Queensland,5050
South Australia,1662
Tasmania,583
Unknown,≤100
Victoria,5845
Western Australia,2311
