Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,192
Apurímac Region,≤100
Arequipa Region,220
Ayacucho Region,123
Cajamarca Region,191
Callao,122
Cusco Region,201
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,170
Junín Region,196
La Libertad Region,506
Lambayeque Region,184
Lima Region,1519
Loreto Region,192
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,996
Puno Region,222
San Martín Region,157
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,206
Unknown,≤100
