Location name,Amount spent (LBP)
Beirut Governorate,2445336
Beqaa Governorate,808490
Mount Lebanon Governorate,1226976
Nabatieh Governorate,328499
North Governorate,1588024
South Governorate,517601
Unknown,≤100
