Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
1517088885216557,AIG,These ads ran without a disclaimer,19688,3
594606007235747,Abdul Aleem Khan,Abdul Aleem Khan,8526,1
246046232150591,Pakistan Peoples Party - PPP,Pakistan Peoples Party,3656,1
109493084543028,Four Corners with Tarar,NEXT TV,2755,1
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,2670,11
105690462092880,MM News,M M DIGITAL (PRIVATE) LIMITED,2419,7
196902934458860,Political Insight,Political Insight,1914,1
100991855514094,Faisal Nadeem,Pakistan Markazi Muslim League - Karachi,1841,2
107097869025056,Mian Ahmad Raza Maneka,These ads ran without a disclaimer,1415,1
101160702224736,White News,White News,1320,2
448981518645687,Chaudhary Shahid Bashir,Chaudhary Shahid Bashir,1314,2
102298835489335,Sahibzada Muhammad Yaqoob Khan,These ads ran without a disclaimer,1017,1
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,1000,6
192844937480061,The Third Pole,These ads ran without a disclaimer,994,1
931203933666198,Startup Pakistan,Startup Pakistan,976,1
1593102584118667,Punjab SDGs Support Unit,Punjab SDGs Support Unit,965,1
103922792737184,Fast Loan,These ads ran without a disclaimer,941,1
112611718401040,Pakistan Markazi Muslim League - Karachi,Pakistan Markazi Muslim League - Karachi,936,1
101080725159933,Allama Shabbir Hasan Maisami,These ads ran without a disclaimer,650,4
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,634,1
1507497616198380,Senator Dr. Afnan Ullah Khan,Senator Dr. Afnan Ullah Khan,630,1
1814850698741724,Senator Mohsin Aziz,Senator Mohsin Aziz,622,1
101320812842845,Pasban Democratic Party,Pasban Democratic Party,618,1
389438921109161,Touseef Abbasi,Touseef Abbasi,542,3
107238762381292,Hamara Pakistan,These ads ran without a disclaimer,493,2
100979582971377,Syntax Solutions,These ads ran without a disclaimer,483,1
420026288429590,Balochistan Today,Balochistan Today,433,2
109904305326312,Insight Pakistan,These ads ran without a disclaimer,397,2
105327482507531,Education Project Balochistan,Education Project Balochistan,327,1
115041729871986,Faraz Abid Lakhani,These ads ran without a disclaimer,322,1
176971363257558,Kahloon Dairy Farm-Sargodha,Kahloon Dairy Farm-Sargodha,322,2
100427168538381,Sardar Mehboob Khan Khetran,Sardar Mehboob Khan Khetran,319,1
108743858087607,Pakistan Tahreek Insaf shakarghar,These ads ran without a disclaimer,304,1
1172265479450829,Roshan Packages Limited,These ads ran without a disclaimer,296,1
102986702588152,Malik A Ghafoor Arain Advocate,These ads ran without a disclaimer,290,1
105396082410434,White News English,White News English,288,1
107830515585719,Jhang Deen-Siasat,These ads ran without a disclaimer,285,1
108365730824748,ان سنی باتیں,These ads ran without a disclaimer,280,1
