Location name,Amount spent (USD)
Alabama,8435
Alaska,4485
American Samoa,≤100
Arizona,20454
Arkansas,5234
California,97632
Colorado,24257
Connecticut,9227
Delaware,2159
Florida,61468
Georgia,24908
Guam,≤100
Hawaii,3622
Idaho,5739
Illinois,44631
Indiana,18353
Iowa,7350
Kansas,8463
Kentucky,10753
Louisiana,13374
Maine,6587
Maryland,17525
Massachusetts,13276
Michigan,35163
Minnesota,16230
Mississippi,5780
Missouri,19991
Montana,3554
Nebraska,4949
Nevada,9150
New Hampshire,2874
New Jersey,22808
New Mexico,4676
New York,98773
North Carolina,23049
North Dakota,2964
Northern Mariana Islands,≤100
Ohio,29703
Oklahoma,9231
Oregon,10821
Pennsylvania,40207
Puerto Rico,≤100
Rhode Island,2120
South Carolina,10238
South Dakota,1521
Tennessee,17497
Texas,85762
Unknown,≤100
Utah,5031
Vermont,1877
Virgin Islands (U.S.),≤100
Virginia,23139
Washington,16746
"Washington, District of Columbia",9909
West Virginia,4384
Wisconsin,92041
Wyoming,1284
