Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,419
Cerro Largo Department,116
Colonia Department,158
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,209
Montevideo Department,3642
Paysandú Department,2248
Rivera Department,615
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,214
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
