Location name,Amount spent (PKR)
Azad Kashmir,843
Balochistan,1199
Federally Administered Tribal Areas,200
Gilgit-Baltistan,330
Islamabad Capital Territory,1811
Khyber Pakhtunkhwa,6661
Punjab,41628
Sindh,11656
Unknown,≤100
