Location name,Amount spent (UYU)
Artigas Department,128
Canelones Department,618
Cerro Largo Department,177
Colonia Department,306
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,305
Montevideo Department,3250
Paysandú Department,194
Rivera Department,514
Rocha Department,137
Río Negro Department,≤100
Salto Department,270
San José Department,128
Soriano Department,130
Tacuarembó Department,168
Treinta y Tres Department,153
Unknown,≤100
