Location name,Amount spent (THB)
Amnat Charoen,131
Ang Thong,≤100
Ayutthaya,1354
Bangkok,28983
Bueng Kan,111
Buriram,428
Chachoengsao,2419
Chai Nat,155
Chaiyaphum,289
Chanthaburi,681
Chiang Mai,1965
Chiang Rai,703
Chon Buri,15759
Chumphon,382
Kalasin,255
Kamphaeng Phet,1141
Kanchanaburi,545
Khon Kaen,905
Krabi,326
Lampang,319
Lamphun,220
Loei,205
Lop Buri,236
Mae Hong Son,134
Maha Sarakham,296
Mukdahan,130
Nakhon Nayok,103
Nakhon Pathom,2085
Nakhon Phanom,468
Nakhon Ratchasima,1042
Nakhon Sawan,1158
Nakhon Si Thammarat,1748
Nan,153
Narathiwat,196
Nong Bua Lam Phu,301
Nong Khai,175
Nonthaburi,1350
Pathum Thani,1411
Pattani,240
Phangnga,193
Phatthalung,553
Phayao,326
Phetchabun,355
Phetchaburi,580
Phichit,335
Phitsanulok,2962
Phrae,161
Phuket,7368
Prachin Buri,268
Prachuap Khiri Khan,395
Ranong,125
Ratchaburi,708
Rayong,1218
Roi Et,499
Sa Kaeo,310
Sakon Nakhon,367
Samut Prakan,1798
Samut Sakhon,1258
Samut Songkhram,612
Saraburi,296
Satun,180
Sing Buri,≤100
Sisaket,420
Songkhla,4022
Sukhothai,432
Suphan Buri,356
Surat Thani,10877
Surin,392
Tak,224
Trang,554
Trat,240
Ubon Ratchathani,728
Udon Thani,468
Unknown,≤100
Uthai Thani,157
Uttaradit,173
Yala Province,210
Yasothon,1020
