Location name,Amount spent (MYR)
Johor,303
Kedah,227
Kelantan,124
Kuala Lumpur,475
Labuan,≤100
Malacca,≤100
Negeri Sembilan,120
Pahang,266
Penang,197
Perak,200
Perlis,≤100
Putrajaya,≤100
Sabah,234
Sarawak,180
Selangor,786
Terengganu,117
Unknown,≤100
