Location name,Amount spent (EGP)
Al Sharqia Governorate,4167
Alexandria Governorate,1486
Aswan Governorate,270
Asyut Governorate,561
Beheira Governorate,1036
Beni Suef Governorate,405
Cairo Governorate,4502
Dakahlia Governorate,1568
Damietta Governorate,455
Faiyum Governorate,459
Gharbia Governorate,1141
Giza Governorate,1737
Ismailia Governorate,410
Kafr el-Sheikh Governorate,803
Luxor Governorate,199
Matrouh Governorate,125
Minya Governorate,715
Monufia Governorate,929
New Valley Governorate,≤100
North Sinai Governorate,124
Port Said Governorate,339
Qalyubia Governorate,1243
Qena Governorate,434
Red Sea Governorate,153
Sohag Governorate,610
South Sinai Governorate,≤100
Suez Governorate,195
Unknown,≤100
