Location name,Amount spent (COP)
Amazonas,1475
Antioquia,4814075
Arauca,15916
Atlantico,1755869
Bolivar,136986
Boyaca,332624
Caldas,630721
Caqueta,71059
Casanare,300045
Cauca,212338
Cesar,90030
Choco,16403
Cordoba,215465
Cundinamarca,550923
Distrito Especial,3926833
Guainia,620
Guaviare,10334
Huila,219640
La Guajira,51113
Magdalena,183386
Meta,417445
Narino,54993
Norte de Santander,460237
Putumayo,42401
Quindio,130588
Risaralda,700029
San Andres y Providencia,100317
Santander,371395
Sucre,124457
Tolima,92791
Unknown,259
Valle del Cauca,4238896
Vaupes,299
Vichada,959
